team,xGoalsPercentage,xGoalsFor,scoreVenueAdjustedxGoalsFor,goalsFor
TOR,0.49,167.78,167.76,187
NYR,0.46,160.13,160.93,149
BUF,0.49,178.36,178.65,192
CBJ,0.49,179.77,180.68,174
UTA,0.5,177.74,178.72,183
NYI,0.48,173.61,173.66,165
DET,0.51,184.09,184.53,172
ANA,0.5,181.69,181.07,179
WPG,0.47,165.47,165.95,159
SJS,0.47,160.45,160.59,169
SEA,0.47,156.85,156.67,161
NSH,0.49,178.79,177.3,166
NJD,0.49,168.96,168.85,143
PIT,0.53,185.23,187.43,191
PHI,0.5,161.21,161.05,162
OTT,0.54,179.99,181.15,188
COL,0.57,202.42,205.02,211
MIN,0.51,181.05,182.61,192
STL,0.46,146.12,146.08,146
BOS,0.46,168.36,168.83,193
VAN,0.46,171.67,169.93,145
LAK,0.5,166.85,166.62,142
CGY,0.48,163.94,163.4,140
EDM,0.51,196.18,196.72,198
MTL,0.5,180,180.75,197
CAR,0.56,205.32,206.21,193
WSH,0.51,195.06,195.63,188
FLA,0.51,185.72,185.3,170
VGK,0.54,179.76,179.6,190
TBL,0.55,195.84,197.87,195
DAL,0.52,183.64,185.46,189
CHI,0.45,151.82,151.88,151
